Sollie,Grunwald,25,M,sgrunwald@genericcollege.edu,2.37,Freshman,Integrative Studies,N/A,N,N,N/A,3.31,911
Iggy,Kelleher,22,M,ikelleher@genericcollege.edu,1.74,Junior,Biochemistry,N/A,Y,N,N/A,3.94,1402
Harv,Palluschek,19,M,hpalluschek@genericcollege.edu,2.27,Sophomore,Journalism,N/A,Y,N,Fraternity,2.48,958
Rosana,Crimpe,20,F,rcrimpe@genericcollege.edu,1.64,Sophomore,Electrical Engineering,Mathematics,N,Y,Sorority,2.22,1455
Meredith,Breedy,26,M,mbreedy@genericcollege.edu,0.86,Junior,Marketing,N/A,Y,Y,N/A,3.23,1334
Fredia,Van der Brug,69,F,fvan der brug@genericcollege.edu,3.37,Senior,Communication,History,N,Y,N/A,2.28,1465
Iona,Bravery,17,F,ibravery@genericcollege.edu,2.65,Freshman,Theatre,N/A,Y,N,Sorority,2.18,981
Claus,Underdown,22,M,cunderdown@genericcollege.edu,1.81,Junior,Philosophy,Business,Y,Y,N/A,3.29,830
Luci,Ferrero,17,F,lferrero@genericcollege.edu,2.15,Junior,Biology,N/A,Y,Y,N/A,2.55,926
Alfy,Draxford,21,F,adraxford@genericcollege.edu,0.54,Senior,Graphic Design,Journalism,Y,Y,N/A,3.1,954
Marsh,Waby,40,M,mwaby@genericcollege.edu,2.12,Junior,Information Technology,N/A,Y,Y,Fraternity,3.08,1266
Susie,Shearston,21,F,sshearston@genericcollege.edu,2.01,Senior,Health Sciences,Spanish,Y,N,N/A,2.12,960
Ware,Kesterton,18,M,wkesterton@genericcollege.edu,3.67,Freshman,Mathematics,N/A,Y,Y,Fraternity,3.63,1004
Audrey,Rubenovic,18,F,arubenovic@genericcollege.edu,1.33,Sophomore,Economics,N/A,N,N,N/A,3.59,1288
Sumner,Coaster,19,M,scoaster@genericcollege.edu,1.64,Sophomore,Information Technology,Italian,Y,Y,Fraternity,3.42,1009
Nealy,Van Halen,20,M,nvan halen@genericcollege.edu,1.39,Sophomore,Nursing,Italian,Y,N,Fraternity,2.42,1560
Tammy,Brickham,22,M,tbrickham@genericcollege.edu,3.01,Sophomore,Linguistics,N/A,N,Y,N/A,3.03,868
Marina,Meikle,22,F,mmeikle@genericcollege.edu,3.37,Sophomore,Sociology,Biology,N,Y,N/A,2.16,1344
Waverley,Saul,60,M,wsaul@genericcollege.edu,1.85,Junior,Graphic Design,N/A,N,Y,N/A,3.78,789
Tuck,Damrell,18,M,tdamrell@genericcollege.edu,3.09,Junior,Biochemistry,N/A,N,N,N/A,3.52,1588
Delmar,Beaushaw,19,M,dbeaushaw@genericcollege.edu,1.42,Sophomore,Health Sciences,English,N,Y,N/A,2.2,1188
Marlowe,Coverlyn,20,M,mcoverlyn@genericcollege.edu,3.53,Freshman,Philosophy,N/A,N,N,Fraternity,2.52,1244
Maryellen,McGarahan,20,F,mmcgarahan@genericcollege.edu,0.76,Freshman,Journalism,Italian,Y,N,N/A,2.5,1017
Eustace,Tearny,17,M,etearny@genericcollege.edu,2.81,Senior,Philosophy,N/A,Y,N,Fraternity,3.34,1450
Clint,Chessel,21,M,cchessel@genericcollege.edu,3.41,Freshman,Integrative Studies,Chemistry,Y,Y,Fraternity,2.07,1039
Noami,Camblin,29,F,ncamblin@genericcollege.edu,1.2,Junior,Communication,N/A,N,N,N/A,2.37,843
Joshia,Orpyne,22,M,jorpyne@genericcollege.edu,2.73,Junior,Theatre,History,N,N,Fraternity,3.04,611
Raynard,Kelley,22,M,rkelley@genericcollege.edu,0.54,Junior,Chemistry,N/A,Y,Y,N/A,3.7,1514
Raffaello,Calafato,22,M,rcalafato@genericcollege.edu,1.97,Freshman,Integrative Studies,N/A,N,Y,Fraternity,2.19,1600
Cchaddie,Winnard,19,M,cwinnard@genericcollege.edu,1.94,Sophomore,Marketing,N/A,Y,Y,Fraternity,3.96,439
Lyndell,Udale,20,F,ludale@genericcollege.edu,1.35,Senior,Journalism,N/A,Y,N,Sorority,2.56,1345
Elspeth,Bruggen,25,F,ebruggen@genericcollege.edu,1.03,Freshman,English,Computer Science,Y,Y,N/A,3.21,902
Eleen,Menault,29,F,emenault@genericcollege.edu,0.53,Sophomore,Nursing,N/A,N,N,Sorority,3.01,1417
Vaughan,Callingham,17,M,vcallingham@genericcollege.edu,0.79,Freshman,Nursing,N/A,N,Y,N/A,3.41,592
Dniren,Knightsbridge,18,F,dknightsbridge@genericcollege.edu,2.24,Junior,Computer Science,Biology,Y,Y,Sorority,3.81,1558
Ardeen,Elce,28,F,aelce@genericcollege.edu,3.08,Junior,Actuarial Science,N/A,N,N,Sorority,2.93,643
Delmor,Parsisson,17,M,dparsisson@genericcollege.edu,3.54,Sophomore,Marketing,English,Y,N,Fraternity,3.75,1170
